#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
0000000000000c6c ff 00000000 00000000
#SEEDMT 001cb974 000142f2
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = 7511c323
#HASH data\ability.dat = 6db42363
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = afa7057b
#HASH data\monsters.dat = d9f7f597
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 4ae61052
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = d4876ce8
#HASH data\Level002.lvl = d79352da
0000000000000c6c 02 00e90123 000142f2
0000000000001de2 02 00ed00ea 00030fae
0000000000002490 02 00360060 0003c89b
0000000000002616 02 00360076 0003faec
0000000000002b5c 02 004500de 00048e5d
00000000000033ae 02 00f40177 000572ad
0000000000003a02 01 00000026 0006273d
0000000000005514 01 00000058 0008eafa
0000000000005c94 01 00000026 0009e623
0000000000006360 01 00000058 000a9ccb
000000000000709e 01 00000026 000c2b42
0000000000009222 01 00000058 000f95ee
000000000000956a 01 00000026 00102268
000000000000a7d0 01 00000058 0012058b
000000000000af32 01 00000027 0012fc40
000000000000b0f4 01 00000025 001330b3
000000000000b3a6 01 00000025 00137d6e
000000000000b50e 01 00000027 0013a8c6
0000000000040c2c 01 00000026 006a333b
000000000004147e 01 00000058 006b1158
00000000000417a8 01 00000026 006b9ac9
00000000000418d4 01 00000058 006bbfc1
0000000000043a58 01 00000058 006f5b4d
0000000000043dfa 01 00000045 006fbed8
00000000000442c8 01 00000051 007045c4
00000000000448c2 01 00000059 0070eb0a
0000000000044c82 02 01d90102 00715763
00000000000455e2 02 017800c3 00725125
00000000000459de 02 017400f6 0072bf49
0000000000045b82 02 017100f4 0072f0b9
0000000000045c72 01 00000020 00730ff3
