#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
00000000000002b2 ff 00000000 00000000
#SEEDMT 003813d5 00004707
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = dbb876de
#HASH data\ability.dat = e50255f1
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = f9a2a4c7
#HASH data\monsters.dat = 055b11e3
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 79458fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 0d3c7484
#HASH data\Level002.lvl = d79352da
00000000000002b2 02 01600117 00004707
0000000000001446 02 010400e7 000216cc
0000000000001752 02 00330055 000271a2
0000000000001cd4 02 004000de 00030b25
00000000000023fa 02 00fc0177 0003d11b
0000000000002ac6 01 00000026 000491cf
00000000000032be 01 00000058 000566d1
000000000000358e 01 00000025 0005e892
00000000000039a8 01 00000025 000659b9
0000000000003b2e 01 00000027 0006881a
0000000000003e58 01 00000041 0006e0f9
0000000000004aa6 01 00000041 00082908
0000000000004dee 01 00000026 00088762
0000000000004ede 01 00000026 0008d6e3
0000000000004efc 01 00000027 0009123d
0000000000004f1a 01 0000000d 00091aba
0000000000005226 01 00000027 00096f80
00000000000053ca 01 00000026 0009a0ea
000000000000578a 01 00000027 000a08b5
00000000000058d4 01 00000027 000a2f8c
00000000000059c4 01 0000000d 000a4d48
0000000000005ba4 01 00000027 000ab16c
0000000000005dc0 01 00000026 000aeefa
0000000000005f0a 01 00000026 000b4796
0000000000006054 01 00000025 000ba032
000000000000aa64 02 010201a7 00132556
000000000000ae9c 01 00000045 0013998c
000000000000b5c2 01 00000051 00145d2c
000000000000ba54 01 00000059 0014de06
000000000000c684 02 01f501a4 001624e7
000000000000c8fa 02 01d10177 00166b96
000000000000ca80 02 01d10177 001699fd
000000000000d098 02 00f400c6 00173ec3
000000000000d30e 02 016200a9 00178572
000000000000d5de 02 01700081 0017d314
