#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
0000000000000438 ff 00000000 00000000
#SEEDMT 00378503 00006e7c
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 86cfb27e
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 8b44d735
#HASH data\Level002.lvl = d79352da
0000000000000438 02 014f0146 00006e7c
000000000000120c 02 00f600e7 0001dd21
0000000000001590 02 00520050 0002441b
0000000000001c20 01 00000058 0002f8ef
00000000000020d0 01 00000042 00037daa
00000000000025bc 01 00000027 00040c50
00000000000027f6 01 00000026 00044ce7
0000000000002c10 01 00000026 0004f1c4
0000000000002df0 01 00000027 0005598d
0000000000002e86 01 00000027 00056fa6
0000000000002f76 01 00000026 00058eda
0000000000003066 01 00000026 0005deee
0000000000003138 01 00000026 00062b66
0000000000003372 01 00000026 00069c4a
0000000000003390 01 00000026 0006d7a4
000000000000385e 01 00000027 00075989
000000000000394e 01 00000027 00077745
0000000000003af2 01 0000000d 0007a737
0000000000003c5a 01 00000027 0007d17f
0000000000003cf0 01 00000027 0007e798
0000000000003e3a 01 00000026 00080fe7
0000000000004074 01 00000026 000880cb
0000000000004272 01 00000026 0008eb9d
0000000000004434 01 00000025 000950f0
0000000000004542 01 00000026 0009732d
0000000000004650 01 00000027 000993f2
00000000000046c8 01 00000027 0009a702
000000000000486c 01 00000026 0009d86c
00000000000049b6 01 00000027 000a3108
0000000000004a6a 01 00000027 000a4a2a
0000000000004b96 01 00000026 000a6f70
0000000000004d1c 01 00000025 000aceb1
0000000000004e84 01 00000027 000afa09
0000000000005280 01 00000053 000b6827
0000000000005424 01 00000025 000b9c03
0000000000005604 01 00000053 000bd37f
000000000000574e 01 00000026 000bfe40
0000000000005898 01 00000026 000c56dc
00000000000059c4 01 00000027 000cac6f
0000000000005ba4 01 00000026 000ce3eb
0000000000005c3a 01 00000026 000d2a51
0000000000005f0a 01 00000027 000d789d
0000000000005fa0 01 00000027 000d8eb6
0000000000006072 01 00000026 000daae1
000000000000628e 01 00000025 000e18bc
0000000000006324 01 00000026 000e2ed5
00000000000063ba 01 00000026 000e753b
00000000000083f4 01 00000045 0011efb2
0000000000008b92 01 00000051 0012bf76
000000000000916e 02 006f01d5 001361b3
000000000000992a 01 0000000d 001436bc
