#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
000000000000021c ff 00000000 00000000
#SEEDMT 003ac9dd 000037da
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 86cfb27e
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 71d3438e
#HASH data\Level002.lvl = d79352da
000000000000021c 02 01c800fd 000037da
0000000000000852 02 00d700e4 0000e136
0000000000000c6c 02 004c0068 0001575d
0000000000001284 02 004200de 0002000d
0000000000001b30 02 0107017b 0002ed78
0000000000002058 01 00000027 000383ae
0000000000002328 01 00000026 0003d372
000000000000439e 01 00000027 00075756
0000000000004560 01 0000000d 00078a51
000000000000479a 01 00000027 0007c9d8
000000000000486c 01 00000027 0007e603
0000000000004a2e 01 00000026 00081a76
0000000000004bb4 01 00000025 00087924
0000000000004c4a 01 00000025 00088f3d
00000000000052f8 01 00000026 0009432a
0000000000007b48 02 00dd0064 000d8f93
000000000000e02e 01 0000000d 0017cbca
000000000000fe4c 01 00000045 001addaf
00000000000102a2 01 00000051 001b5877
0000000000010752 01 00000059 001bdc5a
0000000000010a9a 02 010a0120 001c3c8f
000000000001110c 02 00a2011a 001cea70
0000000000011472 01 0000000d 001d4967
