#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
00000000000003fc ff 00000000 00000000
#SEEDMT 006ba0fa 0000686a
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 93989ac3
#HASH data\Level002.lvl = d79352da
00000000000003fc 02 01410180 0000686a
0000000000000dd4 02 00f100df 00016fdd
000000000000122a 02 00410061 0001ec16
0000000000001842 01 00000058 000294c6
0000000000001cd4 01 00000042 00031678
000000000000201c 01 00000027 00037aa0
000000000000221a 01 00000026 0003b525
0000000000003f0c 01 0000000d 0006ddfb
0000000000006a0e 01 00000026 000b3dbe
0000000000006b58 01 00000027 000b965a
0000000000006c0c 01 00000027 000baf7c
0000000000006cfc 01 00000026 000bceb0
0000000000007350 01 0000000d 000caae7
000000000000758a 01 00000027 000cea6e
00000000000076f2 01 00000027 000d15c6
000000000000781e 01 00000026 000d3b0c
00000000000079c2 01 00000025 000d9cc3
0000000000007a76 01 00000025 000db5e5
0000000000007c56 01 00000026 000ded61
0000000000007fbc 01 0000000d 000e7db7
000000000000866a 01 00000027 000f3094
0000000000008700 01 00000027 000f46ad
00000000000087b4 01 00000026 000f5fcf
0000000000008868 01 00000025 000fa93e
00000000000089d0 01 00000025 000fd496
00000000000099c0 01 00000026 0011784a
000000000000b220 02 0183006b 001427eb
000000000000b61c 02 015b00c8 0014960f
000000000000b964 02 014b0058 0014f1fd
000000000000bdf6 02 01500069 00156f4e
000000000000c198 02 011000c2 0015d457
000000000000c1f2 01 0000000d 0015e464
000000000000c26a 02 00d7005d 0015f664
000000000000d41c 01 00000025 0017cd07
000000000000d656 01 00000025 00180d9e
000000000000d962 01 00000026 00186374
000000000000daac 01 00000027 0018bc10
000000000000db60 01 00000027 0018d532
000000000000dcc8 01 00000026 0019008a
000000000001078e 01 0000004e 001d8cb0
0000000000010dc4 01 00000027 001e3753
0000000000010f86 01 00000026 001e6bc6
0000000000011634 01 00000025 001f5000
000000000001179c 01 00000025 001f7b58
00000000000122dc 01 00000026 0020a5a4
000000000001658a 02 02540009 00279cf6
0000000000016620 02 00f200f4 0027b315
0000000000016b2a 02 013200e2 00283c8a
0000000000016e90 01 0000000d 00289b81
0000000000017160 01 00000026 0028ea35
0000000000017340 01 00000027 002951fe
00000000000180d8 02 00b60114 002ab8fe
000000000001865a 01 00000026 002b4e97
0000000000018d9e 02 015e0055 002c1163
000000000001c1a6 01 00000056 00315bf1
000000000001d9ca 01 00000045 0033d7aa
000000000001e672 02 00f501d1 003524ea
00000000000207f6 01 00000056 0038942f
0000000000021ad4 02 00fa01d4 003a8753
00000000000228c6 02 011301cf 003bfbb9
0000000000023154 01 00000045 003d1246
00000000000232f8 01 00000051 003d473f
000000000002367c 01 00000059 003dacc8
0000000000023ffa 02 01c700cf 003eadda
0000000000024216 01 0000000d 003eeb6e
