#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
00000000000002ee ff 00000000 00000000
#SEEDMT 0096698d 00004d19
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 93989ac3
#HASH data\Level002.lvl = d79352da
00000000000002ee 02 015d012a 00004d19
00000000000012fc 02 00ef00e7 0001f569
000000000000189c 02 00420067 00029305
0000000000001e00 02 004000df 0003297f
0000000000002526 02 00f30178 0003ef75
0000000000002c2e 01 00000027 0004b63b
0000000000002ec2 01 00000026 0004ffed
0000000000003a98 01 0000000d 00066da1
0000000000004dee 01 00000026 0008684a
0000000000004fb0 01 00000027 0008cd0a
0000000000005082 01 00000027 0008e935
00000000000051cc 01 00000026 00091184
0000000000006a86 02 01860051 000bca40
0000000000006d56 01 0000000d 000c1a0a
0000000000007152 01 00000026 000c8718
000000000000736e 01 00000027 000cf4f3
00000000000077a6 01 00000026 000d6923
000000000000b5c2 01 00000058 0013b863
000000000000bc34 01 00000045 001496d0
000000000000be14 01 00000051 0014d1db
000000000000c1b6 01 00000055 00153a6d
000000000000c2c4 01 00000059 00155b32
000000000000c6fc 01 0000000d 0015d3af
