#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
00000000000003c0 ff 00000000 00000000
#SEEDMT 00b29b34 00006258
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = e081bb63
#HASH data\ability.dat = 347798dd
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = c23ece28
#HASH data\monsters.dat = 2bf7bf04
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 409eccf7
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = 93989ac3
#HASH data\Level002.lvl = d79352da
00000000000003c0 02 01a7014d 00006258
0000000000000ec4 02 00f500eb 00018825
00000000000012c0 02 00440061 0001fb43
00000000000018ba 02 004700db 0002a0ea
0000000000001d4c 02 00f90175 0003241a
00000000000020ee 01 00000027 000392db
00000000000022ce 01 00000026 0003ca57
00000000000040b0 01 00000020 00070b75
00000000000046c8 01 0000000d 0007aebd
00000000000055aa 01 00000025 00093610
000000000000565e 01 00000025 00094f32
00000000000057e4 01 00000026 00097d93
000000000000592e 01 00000027 0009d62f
0000000000005af0 01 00000027 000a0aa2
0000000000006036 01 0000005b 000a9a23
000000000000c828 01 00000026 00151e52
000000000000d566 01 0000000d 0016ad9c
000000000000d7a0 01 00000027 0016ed23
000000000000d854 01 00000027 00170645
000000000000daca 01 00000026 00174cee
000000000000db7e 01 00000027 0017965d
000000000000dbf6 01 00000027 0017a96d
000000000000dd40 01 00000026 0017d1bc
000000000000e754 01 0000000d 00190f13
000000000000fe6a 01 0000005b 001b6adc
