#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning YES
000000000000010e ff 00000000 00000000
#SEEDMT 02163775 00001c89
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 16cc7bdf
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
000000000000010e 02 011200ff 00001c89
00000000000005a0 01 00000041 00009b67
0000000000000816 01 0000000d 0000e592
0000000000000ca8 01 00000058 00016165
0000000000000e6a 01 00000042 00019a3f
0000000000001068 01 00000027 0001dd04
00000000000011b2 01 00000027 00020553
000000000000131a 01 00000026 000230ab
0000000000001536 01 00000026 0002a15c
00000000000020b2 01 0000000d 0004032c
000000000000288c 01 00000058 0004d525
0000000000002d5a 01 00000058 00055b5c
00000000000032fa 01 00000027 0005f787
000000000000385e 01 00000025 00068899
00000000000039a8 01 0000000d 0006af70
0000000000003d0e 01 00000027 00070dac
0000000000003f66 01 00000026 0007514c
0000000000005a3c 01 00000025 000a3f92
0000000000005c3a 01 00000026 000a7a17
0000000000005cee 01 00000027 000ac386
0000000000005da2 01 00000027 000adca8
0000000000006054 01 00000027 000b2963
00000000000061bc 01 00000025 000b54bb
0000000000006270 01 00000026 000b6ddd
0000000000006324 01 00000027 000bb74c
0000000000006414 01 00000026 000bd680
000000000000758a 01 00000058 000dd31b
0000000000007f08 01 00000059 000ed36f
00000000000080ac 01 00000027 000f080e
0000000000008160 01 00000027 000f2130
000000000000828c 01 00000026 000f4676
000000000000837c 01 00000025 000f95f7
00000000000083f4 01 00000025 000fa907
0000000000008796 01 00000026 00100e0a
0000000000008d36 01 00000058 0010d818
00000000000093e4 01 00000059 00118f94
00000000000094b6 01 00000027 0011aef4
000000000000954c 01 00000027 0011c50d
000000000000961e 01 00000026 0011e138
00000000000096d2 01 00000025 00122aa7
0000000000009c36 01 00000025 0012bd31
0000000000009df8 01 00000025 0012f1a4
0000000000009f06 01 00000027 001313e1
000000000000a06e 01 00000026 00133f39
000000000000aa0a 01 00000027 00147079
000000000000aabe 01 00000027 00148823
000000000000ab90 01 00000027 0014a2d6
000000000000ad34 01 0000000d 0014d2c8
000000000000b1c6 01 0000000d 00154fb8
000000000000b496 01 00000027 00159ec7
000000000000b7de 01 00000025 0015faaf
000000000000b964 01 00000026 00162910
000000000000bbf8 01 0000000d 00167274
000000000000bcca 01 00000027 00168d27
000000000000bd60 01 00000027 0016a1c8
000000000000be6e 01 00000027 0016c28d
000000000000c012 01 00000027 0016f27f
000000000000c15c 01 0000000d 00171956
000000000000c42c 01 00000027 001795c2
000000000000c62a 01 00000027 0017d047
000000000000c774 01 00000026 0017f896
000000000000c936 01 00000025 00185d56
000000000000f7bc 01 00000045 001d1937
000000000000fbf4 01 00000051 001d90f6
000000000001000e 01 00000059 001e05ac
00000000000102fc 02 01b30131 001e5cc6
0000000000010a7c 01 0000000d 001f25f8
