#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
00000000000001a4 ff 00000000 00000000
#SEEDMT 02523148 00002bb6
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 16cc7bdf
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = fcdc7a43
#HASH data\Level002.lvl = d79352da
00000000000001a4 02 01670111 00002bb6
000000000000088e 01 00000041 0000e748
0000000000000a6e 01 0000000d 00012246
0000000000000f3c 01 00000058 0001a42b
00000000000015ae 01 00000042 0002566d
00000000000018d8 01 00000027 0002b78c
000000000000198c 01 00000027 0002d0ae
0000000000001b30 01 00000026 00030218
0000000000001e96 01 00000026 0003942c
000000000000268e 01 00000058 00049aee
0000000000002c2e 01 00000059 00053719
0000000000002e4a 01 00000026 000577dc
0000000000002e68 01 00000027 0005b336
0000000000002e86 01 00000027 0005bbb3
000000000000302a 01 0000000d 0005eba5
00000000000031ec 01 00000027 00061f08
0000000000003282 01 00000027 00063521
00000000000034bc 01 00000026 000675b8
0000000000003840 01 00000058 00070924
0000000000003cd2 01 00000059 000789fe
0000000000003eee 01 00000028 0007cac1
0000000000004218 01 00000026 000823a0
0000000000004236 01 00000025 00085efa
0000000000004506 01 0000000d 0008ad46
000000000000468c 01 00000025 0008da97
0000000000004722 01 00000025 0008f0b0
0000000000005cd0 01 00000045 000b291d
000000000000619e 01 00000051 000bb009
0000000000006522 01 00000059 000c1592
0000000000006a0e 01 0000000d 000ca045
