#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
000000000000021c ff 00000000 00000000
#SEEDMT 025500d3 000037da
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 39548895
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 7f05de3e
#HASH data\Level002.lvl = d79352da
000000000000021c 02 01a10175 000037da
0000000000000b7c 02 00db00e1 00013329
000000000000102c 02 003b0048 0001b87d
0000000000001554 02 005000df 000248e5
000000000000178e 02 004700e0 00028982
0000000000002760 02 01020177 00043012
0000000000002b02 01 00000027 00049ed3
0000000000002bf2 01 00000027 0004be07
0000000000002e4a 01 00000026 000501a7
00000000000030c0 01 00000026 00057b73
00000000000038b8 01 00000045 00068235
0000000000003cb4 01 00000058 0006eedb
0000000000004254 01 00000059 00078b06
00000000000044e8 01 00000026 0007d7ed
0000000000005b68 01 00000058 000a570b
0000000000006324 01 0000000d 000b29d8
000000000000646e 01 00000027 000b5172
00000000000065d6 01 00000026 000b7cca
0000000000025404 02 014c0143 003db344
0000000000025968 01 00000045 003e45d4
0000000000025cb0 01 00000051 003ea54b
0000000000026070 01 00000059 003f10e6
00000000000264c6 01 0000000d 003f8c6c
