#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
00000000000006ea ff 00000000 00000000
#SEEDMT 00394996 0000b44b
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = faac9706
#HASH data\ability.dat = 39548895
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 2c434b21
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 7f05de3e
#HASH data\Level002.lvl = d79352da
00000000000006ea 02 0196016c 0000b44b
00000000000013ce 02 010500e7 00020aa8
0000000000001c02 02 00450067 0002eb0a
00000000000022b0 02 004e00dc 0003a2e7
0000000000002a4e 02 00fa0174 00047501
0000000000002f76 01 00000027 00050b37
0000000000003066 01 00000027 00052a6b
00000000000034f8 01 00000026 0005a7b6
00000000000041be 01 00000026 00072c9a
000000000000484e 01 00000027 00080ef0
00000000000048e4 01 00000027 00082391
0000000000004a10 01 00000027 0008475f
0000000000004b96 01 0000000d 00087448
0000000000004f38 01 0000000d 0008d8f0
0000000000005118 01 00000027 00090fb7
00000000000052bc 01 00000026 00094121
00000000000066c6 01 00000045 000b7f5d
0000000000006bd0 01 00000051 000c0c5b
0000000000007116 01 00000059 000c9f6b
00000000000076b6 02 01c600db 000d3c54
0000000000007c1a 01 0000000d 000dcee4
