#VERSION +0005.2100000000 Remove this line to ignore version
#EditorRunning NO
000000000000097e ff 00000000 00000000
#SEEDMT 0111c6bb 0000f711
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = 10afd779
#HASH data\ability.dat = 75a28367
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = bb445749
#HASH data\monsters.dat = 51ddae4a
#HASH data\races.dat = 8509c3a3
#HASH data\specialAbilities.dat = 7ba9bddc
#HASH data\spells.dat = e3314243
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = cfab9ea6
#HASH data\Level002.lvl = d79352da
000000000000097e 02 00e0013e 0000f711
00000000000012a2 02 00d400e4 0001ec4e
00000000000018d8 02 004d0064 00029917
00000000000021de 02 003b004e 00038da8
0000000000002904 02 003f00c9 000451a9
000000000000389a 02 00e30177 0005f227
0000000000004290 02 008a01ce 000704ce
000000000000484e 02 001d01d4 0007a580
0000000000004e66 02 008a01cf 00084f4d
0000000000005604 02 008b01d4 00091fda
00000000000075c6 02 015a01d7 000c61a5
0000000000007c92 02 002d01d7 000d1da8
0000000000009330 01 00000025 000f72b5
00000000000095c4 01 00000026 000fbc67
000000000000983a 01 0000000d 0010374b
0000000000009984 01 00000026 00105e8a
00000000000099a2 01 00000026 001099e4
00000000000099c0 01 0000000d 0010a261
00000000000099de 01 0000000d 0010ab46
0000000000009ff6 01 0000000d 00114e8e
000000000000a1d6 01 00000026 00118492
000000000000a37a 01 00000026 0011e649
000000000000a53c 01 00000027 00124b09
000000000000a686 01 00000026 00127358
000000000000a866 01 00000025 0012db21
000000000000a992 01 00000026 00130067
000000000000ad16 01 0000000d 00136213
000000000000bd7e 01 00000045 00153e93
000000000000c288 01 00000051 0015cb91
000000000000c648 01 0000000d 0016372c
000000000000c8dc 01 0000000d 00168141
