#VERSION +0005.2500000000 Remove this line to ignore version
#EditorRunning NO
0000000000015c48 ff 00000000 00000000
#SEEDMT 003c4f45 00233db4
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = 6a69d552
#HASH data\ability.dat = 22a171f0
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 8d938d89
#HASH data\monsters.dat = 5d20e08a
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 7ba9bddc
#HASH data\spells.dat = baccbe83
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bb0e04e6
#HASH data\Level002.lvl = d79352da
0000000000015c48 01 00000020 00233db4
0000000000016404 01 00000041 00240d07
0000000000016b0c 02 005b00ba 0024cd91
0000000000016e18 01 00000058 00252757
0000000000017232 01 00000042 00259ce5
00000000000177b4 01 00000025 00263ab8
00000000000178fe 01 00000025 00266307
0000000000017b1a 01 00000026 0026a095
000000000001827c 01 00000027 002799db
000000000001845c 01 00000026 0027d157
0000000000018696 01 00000025 0028423b
0000000000018768 01 00000026 00285e66
00000000000188b2 01 00000027 0028b702
00000000000189de 01 00000026 0028dc48
0000000000019032 01 00000026 0029a3ab
000000000001919a 01 00000025 0029ceb5
00000000000192c6 01 00000025 0029f283
000000000001a874 01 00000025 002c6cab
000000000001be7c 01 00000025 002ef118
000000000001d4de 01 00000025 00317ea0
000000000001db8c 01 0000000d 00323ff5
000000000001e438 01 00000058 00332720
000000000001e99c 01 00000059 0033bd39
000000000001f0e0 01 00000045 0034b1a3
000000000001f3b0 01 00000051 003504f6
000000000001f752 01 00000059 00356d88
00000000000200ee 01 0000000d 003671a3
