#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
00000000000009d8 ff 00000000 00000000
#SEEDMT 0059dd5f 0001002c
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 61ca5a0f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bd230988
#HASH data\Level002.lvl = d79352da
00000000000009d8 02 015300e2 0001002c
0000000000001ad6 02 011600f6 0002c0c4
0000000000002256 01 00000058 00038ef0
0000000000002922 01 00000041 000448c0
0000000000003fc0 01 00000041 00069cf7
0000000000004236 01 0000000d 0006e228
000000000000459c 01 00000058 00073fa1
0000000000004e84 01 00000042 000831a0
0000000000005280 01 00000025 0008a7fe
000000000000578a 01 00000026 0009316d
000000000000675c 01 0000000d 000b0653
0000000000007404 01 00000041 000c53fb
0000000000007878 01 00000041 000cd0af
0000000000007d0a 01 00000025 000d506c
0000000000007f80 01 00000026 000d9715
00000000000081f6 01 00000026 000e0e0b
000000000000837c 01 00000027 000e6cb9
0000000000008f16 01 00000044 000fa020
000000000000992a 01 00000027 0010aa9a
0000000000009b0a 01 00000026 0010e216
0000000000009cae 01 00000026 001143cd
0000000000009ccc 01 00000027 00117f27
0000000000009fd8 01 0000000d 0011d385
000000000000a140 01 00000027 0011fdcd
000000000000a26c 01 00000026 00122313
000000000000a410 01 00000025 001284ca
000000000000a51e 01 00000026 0012a707
000000000000b1e4 01 00000042 0013f87a
000000000000b54a 01 00000028 00145aed
000000000000b6b2 01 00000028 001484cd
000000000000b784 01 00000028 00149f80
000000000000b81a 01 00000028 0014b421
000000000000b892 01 00000028 0014c5b9
000000000000b8ec 01 00000028 0014d448
000000000000b964 01 00000028 0014e5e0
000000000000bd24 01 00000028 00154c74
000000000000bd9c 01 00000028 00155e0c
000000000000be14 01 00000028 00156fa4
000000000000be8c 01 00000028 0015813c
000000000000bee6 01 00000028 00158fcb
000000000000bf9a 01 00000028 0015a775
000000000000c15c 01 00000026 0015da70
000000000000c1f2 01 00000026 0015ef11
000000000000c24c 01 00000026 0015fda0
000000000000c2c4 01 00000026 00160f38
000000000000c31e 01 00000026 00161dc7
000000000000c3b4 01 00000026 00163268
000000000000c40e 01 00000026 001640f7
000000000000c486 01 00000026 0016528f
000000000000c4fe 01 00000026 00166427
000000000000c684 01 00000028 00169110
000000000000c6de 01 00000028 00169f9f
000000000000c756 01 00000028 0016b137
000000000000c936 01 00000028 0016e73b
000000000000c990 01 00000028 0016f5ca
000000000000cf4e 01 00000058 00178ff7
000000000000d3c2 01 00000058 00180d06
000000000000dd04 01 00000045 0019344b
000000000000e0c4 01 0000001b 00199fe6
000000000000e2e0 01 00000025 0019e04e
000000000000e376 01 00000025 0019f667
000000000000e7ea 01 00000026 001a70a9
000000000000ea24 01 00000026 001ae18d
000000000000ed30 01 00000058 001b68d5
000000000000f348 01 00000059 001c1124
000000000000f4ec 01 00000026 001c45c3
000000000000f50a 01 00000026 001c812a
000000000000f708 01 00000058 001cba37
000000000000fc12 01 0000004e 001d4735
000000000001013a 01 00000058 001dd687
0000000000010464 01 00000059 001e32f5
000000000001069e 01 00000026 001e76c1
0000000000010842 01 00000025 001ed878
00000000000109e6 01 00000026 001f09e2
0000000000010af4 01 00000027 001f5c6c
0000000000010b8a 01 00000027 001f7285
0000000000010c7a 01 00000026 001f91b9
0000000000010d2e 01 00000025 001fdb28
0000000000010e3c 01 00000026 001ffd65
0000000000011436 01 0000000d 00209ece
000000000001179c 01 00000028 0020fd71
0000000000011832 01 00000028 00211212
000000000001188c 01 00000028 002120a1
0000000000011904 01 00000028 00213239
0000000000011a8a 01 00000026 00215f22
0000000000011b02 01 00000026 002170ba
0000000000011b5c 01 00000026 00217f49
0000000000011bb6 01 00000026 00218dd8
0000000000011ce2 01 00000041 0021b1a6
0000000000011f58 01 00000028 0021fbd1
0000000000011fd0 01 00000028 00220d69
000000000001202a 01 00000028 00221bf8
00000000000121ce 01 00000028 00224bea
0000000000012282 01 00000028 00226394
0000000000012372 01 0000000d 00228150
00000000000125ac 01 00000058 0022c06f
000000000001287c 01 00000026 0023131a
00000000000128d6 01 00000026 002321a9
0000000000012a7a 01 0000000d 0023519b
0000000000012cd2 01 00000027 0023c23e
0000000000012d68 01 00000027 0023d857
0000000000012eee 01 00000026 002406b8
00000000000130ce 01 00000058 00246fa6
0000000000013542 01 00000059 0024ed77
000000000001368c 01 00000026 002518fb
00000000000136aa 01 00000058 00255462
0000000000013aa6 01 00000059 0025c60f
0000000000013c2c 01 00000026 0025f7a5
0000000000013efc 01 00000026 002677b6
00000000000140a0 01 00000026 0026d96d
0000000000014b0e 01 00000025 0027ee2c
0000000000014e92 01 00000027 00284eae
00000000000150cc 01 00000028 00288dcd
00000000000155f4 01 00000027 002918cd
000000000001584c 01 00000025 00295af5
000000000001591e 01 00000025 002975a8
0000000000015ca2 01 00000026 0029d62a
0000000000016b66 01 00000026 002b5a0c
0000000000016d28 01 00000042 002b8d07
000000000001726e 01 00000028 002c200a
00000000000173f4 01 00000028 002c4cf3
000000000001748a 01 00000028 002c6194
0000000000017520 01 00000028 002c7635
000000000001755c 01 00000028 002c81bb
00000000000175d4 01 00000028 002c9353
000000000001764c 01 00000028 002ca4eb
00000000000177d2 01 00000028 002cd1d4
0000000000017886 01 00000028 002ce97e
0000000000018a1a 01 0000000d 002eb638
0000000000019668 01 00000058 002ffa5d
0000000000019c08 01 00000042 003095c6
000000000001a298 01 00000058 00314a2c
000000000001a874 01 00000050 0031eba7
000000000001ae50 01 00000042 00328cc7
000000000001b102 01 00000026 0032dd04
000000000001b1b6 01 00000026 0032f4ae
000000000001b210 01 00000026 0033033d
000000000001b2a6 01 00000026 003317de
000000000001b558 01 00000026 00336321
000000000001b738 01 0000000d 00339925
000000000001be7c 01 00000042 00345ac7
000000000001bf8a 01 00000026 00347f76
000000000001c002 01 00000026 0034910e
000000000001c05c 01 00000026 00349f9d
000000000001c0d4 01 00000026 0034b135
000000000001c14c 01 00000026 0034c2cd
000000000001c1a6 01 00000026 0034d15c
000000000001c200 01 00000026 0034dfeb
000000000001c278 01 00000026 0034f183
000000000001c2d2 01 00000026 00350012
000000000001c368 01 00000026 003514b3
000000000001c494 01 00000028 00353881
000000000001c61a 01 00000042 0035656a
000000000001c6b0 01 00000042 00357df5
000000000001c746 01 00000042 00359680
000000000001c7a0 01 00000042 0035a8f9
000000000001c818 01 00000042 0035be7b
000000000001c890 01 00000042 0035d3fd
000000000001c908 01 00000042 0035e97f
000000000001cc14 01 00000058 003641c7
000000000001d2fe 01 00000058 0036fe93
000000000001def2 01 0000004e 00383ea4
000000000001e438 01 00000053 0038d0f2
000000000001eb5e 01 00000058 00399375
000000000001edb6 01 00000027 003a07a7
000000000001ee4c 01 00000027 003a1dc0
000000000001f266 01 00000026 003a8ee7
000000000001f4fa 01 00000027 003b08e6
000000000001f662 01 00000026 003b343e
000000000001f842 01 00000025 003b9c07
000000000001f98c 01 00000026 003bc456
000000000001fad6 01 00000027 003c1cf2
0000000000020670 01 00000056 003d5059
0000000000020a8a 01 00000049 003dc50f
0000000000021390 01 00000052 003eb93f
0000000000021534 01 00000028 003eed1b
00000000000215ac 01 00000028 003efeb3
0000000000021750 01 00000052 003f2ea5
0000000000021ab6 01 00000058 003f9008
0000000000021de0 01 00000058 003febc1
00000000000220b0 01 00000045 00403e5f
00000000000222ea 01 00000053 00408285
00000000000228a8 01 00000043 004121ac
000000000002358c 01 00000045 004289dd
000000000002374e 01 00000058 0042bcd8
0000000000023a1e 01 00000026 00430f76
000000000002464e 01 00000044 00446e9b
0000000000025134 01 00000027 0045a73e
0000000000026214 01 00000027 00476f92
0000000000027204 01 00000058 004912f8
000000000002752e 01 00000041 00496eb1
0000000000027984 01 00000025 0049e979
0000000000027c72 01 00000025 004a3ace
0000000000027d08 01 00000025 004a4f6f
0000000000027d80 01 00000025 004a6107
0000000000027ee8 01 00000027 004a8ae7
0000000000028032 01 0000000d 004ab1be
00000000000281b8 01 00000025 004ae027
000000000002833e 01 00000025 004b0d10
00000000000284e2 01 00000025 004b3d02
