#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
00000000000003fc ff 00000000 00000000
#SEEDMT 005705c5 0000686a
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = 61ca5a0f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 23a2fa0d
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = bd230988
#HASH data\Level002.lvl = d79352da
00000000000003fc 02 016f011e 0000686a
0000000000000942 02 012900fc 0000f97e
00000000000015ea 01 00000043 00024d36
000000000000210c 01 00000058 0003921a
0000000000002364 01 00000027 0003d894
0000000000002526 01 00000026 00040d07
0000000000002724 01 00000026 00047aaf
0000000000002ce2 01 0000000d 000547b9
000000000000320a 01 0000000d 0005d2b9
0000000000003426 01 00000027 00060f37
00000000000034bc 01 00000027 00062550
000000000000358e 01 00000026 0006417b
000000000000367e 01 00000025 000690fc
0000000000003750 01 00000025 0006ad27
000000000000389a 01 00000026 0006d576
0000000000003e76 01 00000020 0007a589
0000000000003fde 01 00000020 0007cf69
0000000000004146 01 00000020 0007f949
0000000000004218 01 00000020 000813fc
0000000000004e2a 01 00000020 0009520f
000000000000587a 01 00000020 000a629b
0000000000005d0c 01 0000000d 000ade6e
00000000000060cc 01 0000000d 000b4502
00000000000062ca 01 00000027 000b7e77
0000000000006360 01 00000027 000b9490
0000000000006612 01 00000025 000be14b
00000000000069f0 01 00000025 000c4c60
0000000000006b76 01 00000020 000c7ac1
00000000000073e6 01 0000000d 000d8d8d
0000000000007620 01 0000000d 000dccac
0000000000007896 01 00000027 000e1245
000000000000792c 01 00000027 000e285e
0000000000007b48 01 00000026 000e65ec
0000000000007dbe 01 00000026 000edce2
0000000000007f08 01 00000025 000f357e
0000000000007fda 01 00000025 000f51a9
