#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
0000000000024e28 ff 00000000 00000000
#SEEDMT 00792994 003bb644
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = d2c7e88f
#HASH data\ability.dat = c5b4467b
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 5d353a33
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 1696009d
#HASH data\Level002.lvl = d79352da
0000000000024e28 02 02270031 003bb644
00000000000255c6 01 0000004c 003c840c
000000000002619c 01 00000043 003dc107
000000000002770e 01 00000058 00401103
0000000000027984 01 00000027 00405a86
0000000000027b46 01 00000026 00408ef9
0000000000027ccc 01 00000027 0040f07d
0000000000027d80 01 00000026 0041099f
0000000000027e70 01 00000025 00415920
0000000000028014 01 00000026 00418a8a
00000000000282c6 01 00000026 00420792
0000000000028884 01 00000042 0042a2e9
0000000000028d8e 01 00000028 00432fda
00000000000293e2 01 0000004e 0043d934
0000000000029946 01 00000058 00446e30
0000000000029b9e 01 00000058 0044b49d
000000000002a60c 01 00000045 0045fa3c
000000000002a774 01 00000051 00462923
000000000002a9ea 01 0000000d 0046735b
