#VERSION +0005.2600000000 Remove this line to ignore version
#EditorRunning NO
000000000007f56c ff 00000000 00000000
#SEEDMT 003ce3c4 00ce2272
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = ebc74836
#HASH data\ability.dat = 1a6ab45f
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = 562515bc
#HASH data\monsters.dat = 5d353a33
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = a9d8bb00
#HASH data\spells.dat = e3964fbe
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001 - Copy (2).lvl = fbc166ea
#HASH data\Level001 - Copy (3).lvl = 6c6d7a9f
#HASH data\Level001 - Copy.lvl = 93989ac3
#HASH data\Level001.lvl = 49172136
#HASH data\Level002.lvl = d79352da
000000000007f56c 02 01b4013f 00ce2272
000000000007faee 02 010000f9 00ceb998
000000000008017e 02 006101d4 00cf6f7c
000000000008174a 01 00000058 00d1ca11
0000000000081a92 01 00000027 00d228d3
0000000000081bbe 01 00000027 00d24e19
00000000000820e6 01 00000026 00d2da91
0000000000082410 01 00000027 00d367b8
000000000008255a 01 00000027 00d38e8f
000000000008260e 01 00000027 00d3a639
00000000000826e0 01 00000027 00d3c0ec
00000000000828de 01 00000025 00d3f9f9
00000000000829ec 01 0000000d 00d41abe
0000000000082de8 01 0000000d 00d48881
000000000008323e 01 00000025 00d4ff05
000000000008336a 01 00000025 00d5244b
000000000008350e 01 00000026 00d555b5
0000000000083658 01 00000027 00d5ae51
0000000000083766 01 00000026 00d5d08e
0000000000083946 01 00000026 00d63857
