#VERSION +0003.6300000000 Remove this line to ignore version
#EditorRunning YES
0000000000000672 ff 00000000 00000000
#SEEDMT 00e04f57 0000a827
##Remove one '#' from following line to replay fast
##FASTPLAY 1
#HASH data\config.txt = 4a4b9534
#HASH data\game.dat = 7511c323
#HASH data\ability.dat = 6db42363
#HASH data\baseclass.dat = 29cb9a9a
#HASH data\classes.dat = 938c79b3
#HASH data\items.dat = afa7057b
#HASH data\monsters.dat = d9f7f597
#HASH data\races.dat = 2146bb32
#HASH data\specialAbilities.dat = 527f56bd
#HASH data\spells.dat = 4ae61052
#HASH data\AI_Script.BLK = 95845e0c
#HASH data\Level001.lvl = d4876ce8
#HASH data\Level002.lvl = d79352da
0000000000000672 01 00000020 0000a827
0000000000000a32 01 0000004c 00011048
0000000000000f1e 01 00000041 00019a30
0000000000002c2e 01 00000058 0004af75
0000000000003480 01 00000026 000590ba
0000000000003fc0 01 0000000d 0006ef41
0000000000004380 01 00000025 0007563d
0000000000004722 01 00000026 0007bb40
00000000000052bc 01 0000000d 0008ee66
000000000000574e 01 0000000d 00096a46
0000000000005f0a 01 00000025 000a380c
0000000000006162 01 0000000d 000a7a34
0000000000006306 01 00000025 000aaa33
0000000000006b1c 01 0000000d 000b8114
0000000000006e64 01 00000027 000c09a4
0000000000007224 01 00000026 000c71b0
000000000000749a 01 00000026 000ce8a6
000000000000772e 01 00000027 000d62a5
00000000000079c2 01 00000026 000dac57
0000000000007c38 01 00000026 000e234d
0000000000007e72 01 00000025 000e9431
0000000000008106 01 00000026 000edde3
0000000000008c46 01 0000000d 001007e1
000000000000992a 01 00000025 00115b33
0000000000009cae 01 0000000d 0011bbb5
0000000000009fd8 01 00000028 0012413c
000000000000a410 01 00000026 0012b56c
000000000000ab54 01 00000025 0013a8d3
000000000000afe6 01 00000027 0014261e
000000000000b25c 01 00000026 00146cc7
000000000000b50e 01 00000026 0014e9cf
000000000000c0a8 01 0000000d 00164e9b
000000000000c3b4 01 00000026 0016a361
000000000000c738 01 00000026 001735a8
000000000000d188 01 0000000d 00184751
000000000000d8cc 01 00000026 0019095b
000000000000dea8 01 0000000d 0019a7ae
000000000000e2e0 01 00000026 001a1ace
000000000000e772 01 0000000d 001a97be
000000000000f6cc 01 00000026 001c2b35
000000000000fb22 01 0000000d 001ca213
0000000000010176 01 00000026 001d4bd5
